Jurisdiction,Value,Race/ ethnicity,Year,Measure
Washington,38.6,White Non-Hispanic,2014,Flu vaccination
Wicomico,38.9,White Non-Hispanic,2014,Flu vaccination
Worcester,44.4,White Non-Hispanic,2014,Flu vaccination
State,44.3,Asian Non-Hispanic,2014,Flu vaccination
Allegany,,Asian Non-Hispanic,2014,Flu vaccination
Anne Arundel,,Asian Non-Hispanic,2014,Flu vaccination
Baltimore City,,Asian Non-Hispanic,2014,Flu vaccination
Baltimore County,,Asian Non-Hispanic,2014,Flu vaccination
Calvert,,Asian Non-Hispanic,2014,Flu vaccination
Caroline,,Asian Non-Hispanic,2014,Flu vaccination
Carroll,,Asian Non-Hispanic,2014,Flu vaccination
Cecil,,Asian Non-Hispanic,2014,Flu vaccination
Charles,,Asian Non-Hispanic,2014,Flu vaccination
Dorchester,,Asian Non-Hispanic,2014,Flu vaccination
Frederick,,Asian Non-Hispanic,2014,Flu vaccination
Garrett,,Asian Non-Hispanic,2014,Flu vaccination
Harford,,Asian Non-Hispanic,2014,Flu vaccination
Howard,,Asian Non-Hispanic,2014,Flu vaccination
Kent,,Asian Non-Hispanic,2014,Flu vaccination
Montgomery,42.8,Asian Non-Hispanic,2014,Flu vaccination
Prince George's,,Asian Non-Hispanic,2014,Flu vaccination
Queen Anne's,,Asian Non-Hispanic,2014,Flu vaccination
Saint Mary's,,Asian Non-Hispanic,2014,Flu vaccination
Somerset,,Asian Non-Hispanic,2014,Flu vaccination
Talbot,,Asian Non-Hispanic,2014,Flu vaccination
Washington,,Asian Non-Hispanic,2014,Flu vaccination
Wicomico,,Asian Non-Hispanic,2014,Flu vaccination
Worcester,,Asian Non-Hispanic,2014,Flu vaccination
State,44.6,All races/ ethnicities (aggregated),2013,Flu vaccination
Allegany,34.6,All races/ ethnicities (aggregated),2013,Flu vaccination
Anne Arundel,47.1,All races/ ethnicities (aggregated),2013,Flu vaccination
Baltimore City,44.0,All races/ ethnicities (aggregated),2013,Flu vaccination
Baltimore County,45.9,All races/ ethnicities (aggregated),2013,Flu vaccination
Calvert,42.9,All races/ ethnicities (aggregated),2013,Flu vaccination
Caroline,47.4,All races/ ethnicities (aggregated),2013,Flu vaccination
Carroll,46.1,All races/ ethnicities (aggregated),2013,Flu vaccination
Cecil,46.4,All races/ ethnicities (aggregated),2013,Flu vaccination
Charles,44.9,All races/ ethnicities (aggregated),2013,Flu vaccination
Dorchester,46.4,All races/ ethnicities (aggregated),2013,Flu vaccination
Frederick,45.6,All races/ ethnicities (aggregated),2013,Flu vaccination
Garrett,35.4,All races/ ethnicities (aggregated),2013,Flu vaccination
Harford,53.3,All races/ ethnicities (aggregated),2013,Flu vaccination
Howard,46.8,All races/ ethnicities (aggregated),2013,Flu vaccination
Kent,43.9,All races/ ethnicities (aggregated),2013,Flu vaccination
Montgomery,48.7,All races/ ethnicities (aggregated),2013,Flu vaccination
Prince George's,36.9,All races/ ethnicities (aggregated),2013,Flu vaccination
Queen Anne's,53.6,All races/ ethnicities (aggregated),2013,Flu vaccination
Saint Mary's,36.9,All races/ ethnicities (aggregated),2013,Flu vaccination
Somerset,39.2,All races/ ethnicities (aggregated),2013,Flu vaccination
Talbot,49.2,All races/ ethnicities (aggregated),2013,Flu vaccination
Washington,38.0,All races/ ethnicities (aggregated),2013,Flu vaccination
Wicomico,42.8,All races/ ethnicities (aggregated),2013,Flu vaccination
Worcester,45.4,All races/ ethnicities (aggregated),2013,Flu vaccination
State,36.5,Black Non-Hispanic,2013,Flu vaccination
Allegany,,Black Non-Hispanic,2013,Flu vaccination
Anne Arundel,39.1,Black Non-Hispanic,2013,Flu vaccination
Baltimore City,39.7,Black Non-Hispanic,2013,Flu vaccination
Baltimore County,41.4,Black Non-Hispanic,2013,Flu vaccination
Calvert,,Black Non-Hispanic,2013,Flu vaccination
Caroline,,Black Non-Hispanic,2013,Flu vaccination
Carroll,,Black Non-Hispanic,2013,Flu vaccination
Cecil,,Black Non-Hispanic,2013,Flu vaccination
Charles,34.3,Black Non-Hispanic,2013,Flu vaccination
Dorchester,35.5,Black Non-Hispanic,2013,Flu vaccination
Frederick,,Black Non-Hispanic,2013,Flu vaccination
Garrett,,Black Non-Hispanic,2013,Flu vaccination
Harford,37.3,Black Non-Hispanic,2013,Flu vaccination
Howard,30.2,Black Non-Hispanic,2013,Flu vaccination
Kent,,Black Non-Hispanic,2013,Flu vaccination
Montgomery,37.5,Black Non-Hispanic,2013,Flu vaccination
Prince George's,34.3,Black Non-Hispanic,2013,Flu vaccination
Queen Anne's,,Black Non-Hispanic,2013,Flu vaccination
Saint Mary's,,Black Non-Hispanic,2013,Flu vaccination
Somerset,,Black Non-Hispanic,2013,Flu vaccination
Talbot,,Black Non-Hispanic,2013,Flu vaccination
Washington,,Black Non-Hispanic,2013,Flu vaccination
Wicomico,39.1,Black Non-Hispanic,2013,Flu vaccination
Worcester,,Black Non-Hispanic,2013,Flu vaccination
State,40.7,Hispanic,2013,Flu vaccination
Allegany,,Hispanic,2013,Flu vaccination
Anne Arundel,,Hispanic,2013,Flu vaccination
Baltimore City,,Hispanic,2013,Flu vaccination
Baltimore County,,Hispanic,2013,Flu vaccination
Calvert,,Hispanic,2013,Flu vaccination
Caroline,,Hispanic,2013,Flu vaccination
Carroll,,Hispanic,2013,Flu vaccination
Cecil,,Hispanic,2013,Flu vaccination
Charles,,Hispanic,2013,Flu vaccination
Dorchester,,Hispanic,2013,Flu vaccination
Frederick,,Hispanic,2013,Flu vaccination
Garrett,,Hispanic,2013,Flu vaccination
Harford,,Hispanic,2013,Flu vaccination
Howard,,Hispanic,2013,Flu vaccination
Kent,,Hispanic,2013,Flu vaccination
Montgomery,39.9,Hispanic,2013,Flu vaccination
Prince George's,40.6,Hispanic,2013,Flu vaccination
Queen Anne's,,Hispanic,2013,Flu vaccination
Saint Mary's,,Hispanic,2013,Flu vaccination
Somerset,,Hispanic,2013,Flu vaccination
Talbot,,Hispanic,2013,Flu vaccination
Washington,,Hispanic,2013,Flu vaccination
Wicomico,,Hispanic,2013,Flu vaccination
Worcester,,Hispanic,2013,Flu vaccination
State,49.7,White Non-Hispanic,2013,Flu vaccination
Allegany,34.6,White Non-Hispanic,2013,Flu vaccination
Anne Arundel,46.8,White Non-Hispanic,2013,Flu vaccination
Baltimore City,54.1,White Non-Hispanic,2013,Flu vaccination
Baltimore County,49.9,White Non-Hispanic,2013,Flu vaccination
Calvert,48.3,White Non-Hispanic,2013,Flu vaccination
Caroline,49.3,White Non-Hispanic,2013,Flu vaccination
Carroll,45.0,White Non-Hispanic,2013,Flu vaccination
Cecil,43.3,White Non-Hispanic,2013,Flu vaccination
Charles,48.9,White Non-Hispanic,2013,Flu vaccination
Dorchester,50.3,White Non-Hispanic,2013,Flu vaccination
Frederick,48.7,White Non-Hispanic,2013,Flu vaccination
Garrett,36.8,White Non-Hispanic,2013,Flu vaccination
Harford,55.3,White Non-Hispanic,2013,Flu vaccination
Howard,50.0,White Non-Hispanic,2013,Flu vaccination
Kent,51.5,White Non-Hispanic,2013,Flu vaccination
Montgomery,59.5,White Non-Hispanic,2013,Flu vaccination
Prince George's,44.6,White Non-Hispanic,2013,Flu vaccination
Queen Anne's,55.8,White Non-Hispanic,2013,Flu vaccination
Saint Mary's,40.1,White Non-Hispanic,2013,Flu vaccination
Somerset,43.5,White Non-Hispanic,2013,Flu vaccination
Talbot,57.3,White Non-Hispanic,2013,Flu vaccination
Washington,40.0,White Non-Hispanic,2013,Flu vaccination
Wicomico,46.2,White Non-Hispanic,2013,Flu vaccination
Worcester,47.5,White Non-Hispanic,2013,Flu vaccination
State,41.2,Asian Non-Hispanic,2013,Flu vaccination
Allegany,,Asian Non-Hispanic,2013,Flu vaccination
Anne Arundel,,Asian Non-Hispanic,2013,Flu vaccination
Baltimore City,,Asian Non-Hispanic,2013,Flu vaccination
Baltimore County,,Asian Non-Hispanic,2013,Flu vaccination
Calvert,,Asian Non-Hispanic,2013,Flu vaccination
Caroline,,Asian Non-Hispanic,2013,Flu vaccination
Carroll,,Asian Non-Hispanic,2013,Flu vaccination
Cecil,,Asian Non-Hispanic,2013,Flu vaccination
Charles,,Asian Non-Hispanic,2013,Flu vaccination
Dorchester,,Asian Non-Hispanic,2013,Flu vaccination
Frederick,,Asian Non-Hispanic,2013,Flu vaccination
Garrett,,Asian Non-Hispanic,2013,Flu vaccination
Harford,,Asian Non-Hispanic,2013,Flu vaccination
Howard,,Asian Non-Hispanic,2013,Flu vaccination
Kent,,Asian Non-Hispanic,2013,Flu vaccination
Montgomery,37.9,Asian Non-Hispanic,2013,Flu vaccination
Prince George's,,Asian Non-Hispanic,2013,Flu vaccination
Queen Anne's,,Asian Non-Hispanic,2013,Flu vaccination
Saint Mary's,,Asian Non-Hispanic,2013,Flu vaccination
Somerset,,Asian Non-Hispanic,2013,Flu vaccination
Talbot,,Asian Non-Hispanic,2013,Flu vaccination
Washington,,Asian Non-Hispanic,2013,Flu vaccination
Wicomico,,Asian Non-Hispanic,2013,Flu vaccination
Worcester,,Asian Non-Hispanic,2013,Flu vaccination
State,41.5,All races/ ethnicities (aggregated),2012,Flu vaccination
Allegany,33.7,All races/ ethnicities (aggregated),2012,Flu vaccination
Anne Arundel,42.5,All races/ ethnicities (aggregated),2012,Flu vaccination
Baltimore City,44.2,All races/ ethnicities (aggregated),2012,Flu vaccination
Baltimore County,45.7,All races/ ethnicities (aggregated),2012,Flu vaccination
Calvert,36.0,All races/ ethnicities (aggregated),2012,Flu vaccination
Caroline,29.1,All races/ ethnicities (aggregated),2012,Flu vaccination
Carroll,43.0,All races/ ethnicities (aggregated),2012,Flu vaccination
Cecil,42.4,All races/ ethnicities (aggregated),2012,Flu vaccination
Charles,31.4,All races/ ethnicities (aggregated),2012,Flu vaccination
Dorchester,33.5,All races/ ethnicities (aggregated),2012,Flu vaccination
Frederick,39.5,All races/ ethnicities (aggregated),2012,Flu vaccination
Garrett,34.3,All races/ ethnicities (aggregated),2012,Flu vaccination
Harford,45.5,All races/ ethnicities (aggregated),2012,Flu vaccination
Howard,51.9,All races/ ethnicities (aggregated),2012,Flu vaccination
Kent,36.4,All races/ ethnicities (aggregated),2012,Flu vaccination
Montgomery,43.1,All races/ ethnicities (aggregated),2012,Flu vaccination
Prince George's,34.1,All races/ ethnicities (aggregated),2012,Flu vaccination
Queen Anne's,36.1,All races/ ethnicities (aggregated),2012,Flu vaccination
Saint Mary's,33.2,All races/ ethnicities (aggregated),2012,Flu vaccination
Somerset,29.1,All races/ ethnicities (aggregated),2012,Flu vaccination
Talbot,50.6,All races/ ethnicities (aggregated),2012,Flu vaccination
Washington,44.1,All races/ ethnicities (aggregated),2012,Flu vaccination
Wicomico,32.1,All races/ ethnicities (aggregated),2012,Flu vaccination
Worcester,44.9,All races/ ethnicities (aggregated),2012,Flu vaccination
State,35.2,Black Non-Hispanic,2012,Flu vaccination
Allegany,,Black Non-Hispanic,2012,Flu vaccination
Anne Arundel,42.3,Black Non-Hispanic,2012,Flu vaccination
Baltimore City,43.5,Black Non-Hispanic,2012,Flu vaccination
Baltimore County,36.0,Black Non-Hispanic,2012,Flu vaccination
Calvert,,Black Non-Hispanic,2012,Flu vaccination
Caroline,,Black Non-Hispanic,2012,Flu vaccination
Carroll,,Black Non-Hispanic,2012,Flu vaccination
Cecil,,Black Non-Hispanic,2012,Flu vaccination
Charles,26.1,Black Non-Hispanic,2012,Flu vaccination
Dorchester,20.2,Black Non-Hispanic,2012,Flu vaccination
Frederick,,Black Non-Hispanic,2012,Flu vaccination
Garrett,,Black Non-Hispanic,2012,Flu vaccination
Harford,41.3,Black Non-Hispanic,2012,Flu vaccination
Howard,45.0,Black Non-Hispanic,2012,Flu vaccination
Kent,,Black Non-Hispanic,2012,Flu vaccination
Montgomery,27.6,Black Non-Hispanic,2012,Flu vaccination
Prince George's,32.8,Black Non-Hispanic,2012,Flu vaccination
Queen Anne's,,Black Non-Hispanic,2012,Flu vaccination
Saint Mary's,,Black Non-Hispanic,2012,Flu vaccination
Somerset,,Black Non-Hispanic,2012,Flu vaccination
Talbot,,Black Non-Hispanic,2012,Flu vaccination
Washington,,Black Non-Hispanic,2012,Flu vaccination
Wicomico,15.6,Black Non-Hispanic,2012,Flu vaccination
Worcester,,Black Non-Hispanic,2012,Flu vaccination
State,26.7,Hispanic,2012,Flu vaccination
Allegany,,Hispanic,2012,Flu vaccination
Anne Arundel,,Hispanic,2012,Flu vaccination
Baltimore City,,Hispanic,2012,Flu vaccination
Baltimore County,,Hispanic,2012,Flu vaccination
Calvert,,Hispanic,2012,Flu vaccination
Caroline,,Hispanic,2012,Flu vaccination
Carroll,,Hispanic,2012,Flu vaccination
Cecil,,Hispanic,2012,Flu vaccination
Charles,,Hispanic,2012,Flu vaccination
Dorchester,,Hispanic,2012,Flu vaccination
Frederick,,Hispanic,2012,Flu vaccination
Garrett,,Hispanic,2012,Flu vaccination
Harford,,Hispanic,2012,Flu vaccination
Howard,,Hispanic,2012,Flu vaccination
Kent,,Hispanic,2012,Flu vaccination
Montgomery,27.5,Hispanic,2012,Flu vaccination
Prince George's,20.4,Hispanic,2012,Flu vaccination
Queen Anne's,,Hispanic,2012,Flu vaccination
Saint Mary's,,Hispanic,2012,Flu vaccination
Somerset,,Hispanic,2012,Flu vaccination
Talbot,,Hispanic,2012,Flu vaccination
Washington,,Hispanic,2012,Flu vaccination
Wicomico,,Hispanic,2012,Flu vaccination
Worcester,,Hispanic,2012,Flu vaccination
State,46.6,White Non-Hispanic,2012,Flu vaccination
Allegany,37.0,White Non-Hispanic,2012,Flu vaccination
Anne Arundel,45.7,White Non-Hispanic,2012,Flu vaccination
Baltimore City,50.4,White Non-Hispanic,2012,Flu vaccination
Baltimore County,51.0,White Non-Hispanic,2012,Flu vaccination
Calvert,36.6,White Non-Hispanic,2012,Flu vaccination
Caroline,31.7,White Non-Hispanic,2012,Flu vaccination
Carroll,43.7,White Non-Hispanic,2012,Flu vaccination
Cecil,44.6,White Non-Hispanic,2012,Flu vaccination
Charles,34.4,White Non-Hispanic,2012,Flu vaccination
Dorchester,43.1,White Non-Hispanic,2012,Flu vaccination
Frederick,43.8,White Non-Hispanic,2012,Flu vaccination
Garrett,34.7,White Non-Hispanic,2012,Flu vaccination
Harford,46.9,White Non-Hispanic,2012,Flu vaccination
Howard,56.9,White Non-Hispanic,2012,Flu vaccination
Kent,39.3,White Non-Hispanic,2012,Flu vaccination
Montgomery,52.1,White Non-Hispanic,2012,Flu vaccination
Prince George's,43.6,White Non-Hispanic,2012,Flu vaccination
Queen Anne's,38.0,White Non-Hispanic,2012,Flu vaccination
Saint Mary's,36.2,White Non-Hispanic,2012,Flu vaccination
Somerset,30.0,White Non-Hispanic,2012,Flu vaccination
Talbot,50.1,White Non-Hispanic,2012,Flu vaccination
Washington,44.1,White Non-Hispanic,2012,Flu vaccination
Wicomico,39.6,White Non-Hispanic,2012,Flu vaccination
Worcester,51.3,White Non-Hispanic,2012,Flu vaccination
State,47.1,Asian Non-Hispanic,2012,Flu vaccination
Allegany,,Asian Non-Hispanic,2012,Flu vaccination
Anne Arundel,,Asian Non-Hispanic,2012,Flu vaccination
Baltimore City,,Asian Non-Hispanic,2012,Flu vaccination
Baltimore County,,Asian Non-Hispanic,2012,Flu vaccination
Calvert,,Asian Non-Hispanic,2012,Flu vaccination
Caroline,,Asian Non-Hispanic,2012,Flu vaccination
Carroll,,Asian Non-Hispanic,2012,Flu vaccination
Cecil,,Asian Non-Hispanic,2012,Flu vaccination
Charles,,Asian Non-Hispanic,2012,Flu vaccination
Dorchester,,Asian Non-Hispanic,2012,Flu vaccination
Frederick,,Asian Non-Hispanic,2012,Flu vaccination
Garrett,,Asian Non-Hispanic,2012,Flu vaccination
Harford,,Asian Non-Hispanic,2012,Flu vaccination
Howard,,Asian Non-Hispanic,2012,Flu vaccination
Kent,,Asian Non-Hispanic,2012,Flu vaccination
Montgomery,48.0,Asian Non-Hispanic,2012,Flu vaccination
Prince George's,,Asian Non-Hispanic,2012,Flu vaccination
Queen Anne's,,Asian Non-Hispanic,2012,Flu vaccination
Saint Mary's,,Asian Non-Hispanic,2012,Flu vaccination
Somerset,,Asian Non-Hispanic,2012,Flu vaccination
Talbot,,Asian Non-Hispanic,2012,Flu vaccination
Washington,,Asian Non-Hispanic,2012,Flu vaccination
Wicomico,,Asian Non-Hispanic,2012,Flu vaccination
Worcester,,Asian Non-Hispanic,2012,Flu vaccination
State,41.0,All races/ ethnicities (aggregated),2011,Flu vaccination
Allegany,40.1,All races/ ethnicities (aggregated),2011,Flu vaccination
Anne Arundel,43.0,All races/ ethnicities (aggregated),2011,Flu vaccination
Baltimore City,45.4,All races/ ethnicities (aggregated),2011,Flu vaccination
Baltimore County,44.0,All races/ ethnicities (aggregated),2011,Flu vaccination
Calvert,43.1,All races/ ethnicities (aggregated),2011,Flu vaccination
Caroline,32.5,All races/ ethnicities (aggregated),2011,Flu vaccination
Carroll,34.4,All races/ ethnicities (aggregated),2011,Flu vaccination
Cecil,44.9,All races/ ethnicities (aggregated),2011,Flu vaccination
Charles,37.2,All races/ ethnicities (aggregated),2011,Flu vaccination
Dorchester,45.3,All races/ ethnicities (aggregated),2011,Flu vaccination
Frederick,39.6,All races/ ethnicities (aggregated),2011,Flu vaccination
Garrett,31.6,All races/ ethnicities (aggregated),2011,Flu vaccination
Harford,36.5,All races/ ethnicities (aggregated),2011,Flu vaccination
Howard,46.1,All races/ ethnicities (aggregated),2011,Flu vaccination
Kent,32.2,All races/ ethnicities (aggregated),2011,Flu vaccination
Montgomery,46.6,All races/ ethnicities (aggregated),2011,Flu vaccination
Prince George's,31.1,All races/ ethnicities (aggregated),2011,Flu vaccination
Queen Anne's,50.3,All races/ ethnicities (aggregated),2011,Flu vaccination
Saint Mary's,34.8,All races/ ethnicities (aggregated),2011,Flu vaccination
Somerset,37.8,All races/ ethnicities (aggregated),2011,Flu vaccination
Talbot,50.2,All races/ ethnicities (aggregated),2011,Flu vaccination
Washington,33.3,All races/ ethnicities (aggregated),2011,Flu vaccination
Wicomico,43.7,All races/ ethnicities (aggregated),2011,Flu vaccination
Worcester,38.5,All races/ ethnicities (aggregated),2011,Flu vaccination
State,36.7,Black Non-Hispanic,2011,Flu vaccination
Allegany,,Black Non-Hispanic,2011,Flu vaccination
Anne Arundel,30.0,Black Non-Hispanic,2011,Flu vaccination
Baltimore City,47.9,Black Non-Hispanic,2011,Flu vaccination
Baltimore County,39.0,Black Non-Hispanic,2011,Flu vaccination
Calvert,,Black Non-Hispanic,2011,Flu vaccination
Caroline,,Black Non-Hispanic,2011,Flu vaccination
Carroll,,Black Non-Hispanic,2011,Flu vaccination
Cecil,,Black Non-Hispanic,2011,Flu vaccination
Charles,27.5,Black Non-Hispanic,2011,Flu vaccination
Dorchester,,Black Non-Hispanic,2011,Flu vaccination
Frederick,,Black Non-Hispanic,2011,Flu vaccination
Garrett,,Black Non-Hispanic,2011,Flu vaccination
Harford,,Black Non-Hispanic,2011,Flu vaccination
Howard,,Black Non-Hispanic,2011,Flu vaccination
Kent,,Black Non-Hispanic,2011,Flu vaccination
Montgomery,33.8,Black Non-Hispanic,2011,Flu vaccination
Prince George's,29.8,Black Non-Hispanic,2011,Flu vaccination
Queen Anne's,,Black Non-Hispanic,2011,Flu vaccination
Saint Mary's,,Black Non-Hispanic,2011,Flu vaccination
Somerset,,Black Non-Hispanic,2011,Flu vaccination
Talbot,,Black Non-Hispanic,2011,Flu vaccination
Washington,,Black Non-Hispanic,2011,Flu vaccination
Wicomico,,Black Non-Hispanic,2011,Flu vaccination
Worcester,,Black Non-Hispanic,2011,Flu vaccination
State,29.2,Hispanic,2011,Flu vaccination
Allegany,,Hispanic,2011,Flu vaccination
Anne Arundel,,Hispanic,2011,Flu vaccination
Baltimore City,,Hispanic,2011,Flu vaccination
Baltimore County,,Hispanic,2011,Flu vaccination
Calvert,,Hispanic,2011,Flu vaccination
Caroline,,Hispanic,2011,Flu vaccination
Carroll,,Hispanic,2011,Flu vaccination
Cecil,,Hispanic,2011,Flu vaccination
Charles,,Hispanic,2011,Flu vaccination
Dorchester,,Hispanic,2011,Flu vaccination
Frederick,,Hispanic,2011,Flu vaccination
Garrett,,Hispanic,2011,Flu vaccination
Harford,,Hispanic,2011,Flu vaccination
Howard,,Hispanic,2011,Flu vaccination
Kent,,Hispanic,2011,Flu vaccination
Montgomery,32.6,Hispanic,2011,Flu vaccination
Prince George's,,Hispanic,2011,Flu vaccination
Queen Anne's,,Hispanic,2011,Flu vaccination
Saint Mary's,,Hispanic,2011,Flu vaccination
Somerset,,Hispanic,2011,Flu vaccination
Talbot,,Hispanic,2011,Flu vaccination
Washington,,Hispanic,2011,Flu vaccination
Wicomico,,Hispanic,2011,Flu vaccination
Worcester,,Hispanic,2011,Flu vaccination
State,44.7,White Non-Hispanic,2011,Flu vaccination
Allegany,41.5,White Non-Hispanic,2011,Flu vaccination
Anne Arundel,47.4,White Non-Hispanic,2011,Flu vaccination
Baltimore City,47.6,White Non-Hispanic,2011,Flu vaccination
Baltimore County,45.5,White Non-Hispanic,2011,Flu vaccination
Calvert,44.4,White Non-Hispanic,2011,Flu vaccination
Caroline,36.2,White Non-Hispanic,2011,Flu vaccination
Carroll,37.3,White Non-Hispanic,2011,Flu vaccination
Cecil,42.4,White Non-Hispanic,2011,Flu vaccination
Charles,44.7,White Non-Hispanic,2011,Flu vaccination
Dorchester,39.6,White Non-Hispanic,2011,Flu vaccination
Frederick,38.9,White Non-Hispanic,2011,Flu vaccination
Garrett,32.5,White Non-Hispanic,2011,Flu vaccination
Harford,38.0,White Non-Hispanic,2011,Flu vaccination
Howard,48.7,White Non-Hispanic,2011,Flu vaccination
Kent,31.2,White Non-Hispanic,2011,Flu vaccination
Montgomery,54.9,White Non-Hispanic,2011,Flu vaccination
Prince George's,44.0,White Non-Hispanic,2011,Flu vaccination
Queen Anne's,50.3,White Non-Hispanic,2011,Flu vaccination
Saint Mary's,31.1,White Non-Hispanic,2011,Flu vaccination
Somerset,29.6,White Non-Hispanic,2011,Flu vaccination
Talbot,45.1,White Non-Hispanic,2011,Flu vaccination
Washington,34.2,White Non-Hispanic,2011,Flu vaccination
Wicomico,45.6,White Non-Hispanic,2011,Flu vaccination
Worcester,37.3,White Non-Hispanic,2011,Flu vaccination
State,38.7,Asian Non-Hispanic,2011,Flu vaccination
Allegany,,Asian Non-Hispanic,2011,Flu vaccination
Anne Arundel,,Asian Non-Hispanic,2011,Flu vaccination
Baltimore City,,Asian Non-Hispanic,2011,Flu vaccination
Baltimore County,,Asian Non-Hispanic,2011,Flu vaccination
Calvert,,Asian Non-Hispanic,2011,Flu vaccination
Caroline,,Asian Non-Hispanic,2011,Flu vaccination
Carroll,,Asian Non-Hispanic,2011,Flu vaccination
Cecil,,Asian Non-Hispanic,2011,Flu vaccination
Charles,,Asian Non-Hispanic,2011,Flu vaccination
Dorchester,,Asian Non-Hispanic,2011,Flu vaccination
Frederick,,Asian Non-Hispanic,2011,Flu vaccination
Garrett,,Asian Non-Hispanic,2011,Flu vaccination
Harford,,Asian Non-Hispanic,2011,Flu vaccination
Howard,,Asian Non-Hispanic,2011,Flu vaccination
Kent,,Asian Non-Hispanic,2011,Flu vaccination
Montgomery,37.3,Asian Non-Hispanic,2011,Flu vaccination
Prince George's,,Asian Non-Hispanic,2011,Flu vaccination
Queen Anne's,,Asian Non-Hispanic,2011,Flu vaccination
Saint Mary's,,Asian Non-Hispanic,2011,Flu vaccination
Somerset,,Asian Non-Hispanic,2011,Flu vaccination
Talbot,,Asian Non-Hispanic,2011,Flu vaccination
Washington,,Asian Non-Hispanic,2011,Flu vaccination
Wicomico,,Asian Non-Hispanic,2011,Flu vaccination
Worcester,,Asian Non-Hispanic,2011,Flu vaccination
State,39.5,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Allegany,28.3,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Anne Arundel,44.5,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Baltimore County,42.6,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Calvert,34.8,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Caroline,34.0,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Carroll,31.0,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Cecil,35.2,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Charles,29.8,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Dorchester,34.3,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Frederick,35.6,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Garrett,28.0,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Harford,35.4,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Howard,52.2,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Kent,45.6,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Montgomery,45.2,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Prince George's,34.3,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Queen Anne's,39.8,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Saint Mary's,33.8,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Somerset,38.4,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Talbot,44.4,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Washington,29.7,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Wicomico,32.1,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Worcester,36.8,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
Baltimore City,38.4,All races/ ethnicities (aggregated),2018,Annual Flu Vaccinations
State,19.5,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Allegany,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Anne Arundel,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Baltimore County,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Calvert,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Caroline,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Carroll,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Cecil,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Charles,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Dorchester,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Frederick,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Garrett,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Harford,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Howard,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Kent,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Montgomery,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Prince George's,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Queen Anne's,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Saint Mary's,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Somerset,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
Talbot,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Annual Flu Vaccinations
